Compensation of employees (% of expense),Adjusted savings: education expenditure (current US$),Population growth (annual %),Net migration,GDP growth (annual %),Lending interest rate (%),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Households and NPISHs final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)","School enrollment, tertiary (% gross)",Tax revenue (% of GDP),"Short-term debt (% of exports of goods, services and primary income)","Unemployment, total (% of total labor force) (national estimate)"
22.9221255633581,860745805.85445,1.65068557714402,-2576.0,7.53997109564237,17.76,8.53200525418847,64.856,59.6827688368758,1.1922519299764,10.6053104400635,15.9484191945104,42.2353911608926,4.366
20.0530155421632,1177127048.95815,1.63416751970142,-1651.0,8.22000739947582,18.8516666666667,9.42032321644615,65.237,61.5770555852943,2.15007984011937,11.4058303833008,14.9647722699912,47.8826826974497,
23.0680026816938,1327658626.13671,1.61881686064568,-1856.0,7.81818707715229,19.2175,7.97328085611417,65.355,62.3571825569692,2.72419788646708,11.616530418396,14.234801940785,55.5725985826853,4.861
13.6696183160924,1256639739.62287,1.60308930027037,-4332.0,4.6998788540334,21.8175,6.22614163387588,65.733,61.6812634400294,2.16779685196237,13.460280418396,16.0118484144708,50.4885242879528,4.684
11.7759798059281,1032368778.42455,1.56493286270644,-11356.0,-13.126725493152,32.1541666666667,58.4510444723947,65.962,67.7814520166549,-0.252290447660406,13.4271001815796,15.0275881804252,35.4347795316541,5.459
10.6495263870095,1728834917.01888,1.50004294345816,-28804.0,0.791126082561647,27.6625,20.47783111264,66.221,73.9437968318815,-1.33257354110796,14.7992601394653,16.3158356093432,34.6938214289273,6.358
,2352916662.2592,1.44708848408903,-42697.0,4.92006774777576,18.455,3.68861915958352,66.433,61.6503710434368,-2.75743993350903,14.9254198074341,,29.6774965899924,6.078
,2653504740.18782,1.4100988547982,-64261.0,3.64346644786215,18.5475,11.5001148791768,66.758,63.1501613900561,-1.85568619300523,14.2340402603149,11.5781845835748,30.8789917614144,6.082
7.42620325787151,3621359597.82537,1.37351928060869,-83985.0,4.49947538889633,18.945,11.9001175663778,67.134,67.6222370278204,0.0741516383181159,14.8015203475952,11.8269595891699,26.2504049280486,6.604
14.5583857687751,4736939132.79595,1.33804389134874,-97733.0,4.78036912376109,16.935,6.75731719362853,67.413,68.1380199164254,-0.254256320381005,15.9035701751709,12.3855320643093,27.643600883762,6.658
12.7333360243823,5608624479.76985,1.27322648868512,-102669.0,5.03087394494024,14.1241666666667,6.06405988526521,65.75,66.7684818650471,0.738243979887563,16.3212699890137,12.3307678952353,27.2545270020126,7.303
,6742298872.20099,1.26074829560286,-102380.0,5.69257130261316,14.0508333333333,10.4531984193865,67.649,64.3624901600634,2.91611483313067,16.8704605102539,,11.361385175723,7.945
,9317862210.82099,1.29930889873663,-101108.0,5.50095178537065,15.9791666666667,13.1086720985296,67.914,62.6690567081478,1.34794264068931,16.9588603973389,,11.0997377914383,7.551
,11853023031.2876,1.31184759614566,-103121.0,6.34502222761846,13.8616666666667,6.40656281325701,68.189,63.5426895366344,1.6030105718879,17.7960300445557,,14.8371085631295,8.06
12.3525404124159,13335808780.3573,1.30217053507895,-108492.0,6.01370359922831,13.5983333333333,10.2266645473148,68.226,60.621252728246,1.82632902404593,20.8093490600586,13.3106178269922,13.6910823652141,7.209
14.8183099212789,17026711752.3215,1.27153208994292,-98211.0,4.62887118346032,14.4983333333333,4.38641555014731,68.494,58.7027563087765,0.903919419647209,23.0492897033691,11.057786518801,18.9004213841241,6.106
